,Latitude,Longitude,num_crimes_comm_area,num_complaints_comm_area,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Firearm-related,Tuberculosis,canvass fail rate,complaint fail rate,num prev canvass inspections,num prev complaint inspections,last inspection fail,inspection-complaint interaction,inspection-fail interaction,consec-fail interaction,Facility Type_Grocery Store,Facility Type_Restaurant,Risk_Risk 1 (High),Risk_Risk 2 (Medium),Results_Fail,Inspection Date,Facility Type_Daycare 2,lat_long_interaction
141,41.8818862275,-87.6366183305,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.0,6.0,1.0,0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2015-10-30,0.0,-3670.38687828
142,41.8818862275,-87.6366183305,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.205235807782,0.337701612903,0.0,0.0,0,0.0,0.0,0.102617903891,1.0,0.0,0.0,0.0,0.0,2013-12-31,0.0,-3670.38687828
144,41.9038310455,-87.6287400478,8916.0,1185.0,12.9,7.0,8.6,69.7,9.6,3.2,5.5,0.0,0.337701612903,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2014-08-07,0.0,-3671.97991769
148,41.8915590423,-87.6281393755,8916.0,1185.0,12.9,7.0,8.6,69.7,9.6,3.2,5.5,0.0,0.666666666667,3.0,3.0,0,18.0,12.0,0.0,0.0,1.0,1.0,0.0,1.0,2016-05-24,0.0,-3670.87937442
156,41.8843806506,-87.6279870457,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.337701612903,7.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2016-01-08,0.0,-3670.24396507
162,41.8843806506,-87.6279870457,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.2,0.337701612903,5.0,0.0,0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,2016-07-13,0.0,-3670.24396507
166,41.8867042286,-87.6280535598,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.337701612903,3.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2014-01-30,0.0,-3670.45036159
170,41.8867042286,-87.6280535598,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.337701612903,3.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2014-01-30,0.0,-3670.45036159
176,41.8867042286,-87.6280535598,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.2,0.337701612903,5.0,0.0,1,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,2016-03-08,0.0,-3670.45036159
180,41.8867042286,-87.6280535598,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.0,3.0,1.0,0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2016-03-31,0.0,-3670.45036159
186,41.8867042286,-87.6280535598,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.337701612903,5.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2016-03-09,0.0,-3670.45036159
192,41.8867042286,-87.6280535598,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.337701612903,5.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2016-03-09,0.0,-3670.45036159
198,41.8867042286,-87.6280535598,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.337701612903,5.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2015-06-09,0.0,-3670.45036159
204,41.8831086273,-87.6279487708,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.2,0.337701612903,5.0,0.0,0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,2016-07-07,0.0,-3670.13089715
205,41.8831086273,-87.6279487708,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.205235807782,0.337701612903,0.0,0.0,0,0.0,0.0,0.102617903891,0.0,1.0,1.0,0.0,0.0,2010-03-08,0.0,-3670.13089715
207,41.8967928744,-87.6277875784,8916.0,1185.0,12.9,7.0,8.6,69.7,9.6,3.2,5.5,0.0,0.2,1.0,5.0,0,30.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,2016-09-26,0.0,-3671.32326621
209,41.8992550556,-87.627834638,8916.0,1185.0,12.9,7.0,8.6,69.7,9.6,3.2,5.5,0.0,0.337701612903,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2016-06-08,0.0,-3671.54099347
213,41.8917914631,-87.6276577412,8916.0,1185.0,12.9,7.0,8.6,69.7,9.6,3.2,5.5,0.333333333333,0.337701612903,3.0,0.0,0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,2016-05-24,0.0,-3670.87956449
216,41.8917914631,-87.6276577412,8916.0,1185.0,12.9,7.0,8.6,69.7,9.6,3.2,5.5,0.0,0.337701612903,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2012-05-01,0.0,-3670.87956449
222,41.8783315486,-87.6273238974,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.2,0.0,5.0,1.0,0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,2015-01-02,0.0,-3669.68612289
228,41.8822156979,-87.6295562536,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.2,0.0,5.0,2.0,0,14.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,2015-02-03,0.0,-3670.11997652
232,41.8822156979,-87.6295562536,7511.0,578.0,14.7,5.7,5.3,78.2,6.9,4.0,6.5,0.0,0.0,3.0,1.0,0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2015-02-03,0.0,-3670.11997652
233,41.8809089548,-87.7380851734,5911.0,1341.0,41.7,25.8,17.0,71.4,17.5,36.0,6.5,0.205235807782,0.337701612903,0.0,0.0,0,0.0,0.0,0.102617903891,1.0,0.0,0.0,0.0,1.0,2012-10-19,0.0,-3674.55075702
